Dataset,Algorithm,Training Time,inertia,homo,compl,v-meas,ARI,AMI,silhouette
letter,random 12,2.1389999389648438,1.1108718188814706,1.0,1.0,1.0,1.0,1.0,0.14588609815709674,1.1108718188814792
letter,random 13,2.8899998664855957,1.0768860396044768,1.0,1.0,1.0,1.0,1.0,0.15146823854082,1.0768860396044693
letter,random 14,2.447000026702881,1.0467971746566926,1.0,1.0,1.0,1.0,1.0,0.15280989182016147,1.0467971746566891
letter,random 15,2.498000144958496,1.0221552556345779,1.0,1.0,1.0,1.0,1.0,0.14227162208615357,1.0221552556345732
letter,random 16,3.236999988555908,0.99638505502484309,1.0,1.0,1.0,1.0,1.0,0.14513751612547707,0.99638505502484198
letter,random 17,2.8929998874664307,0.9720874351593185,1.0,1.0,1.0,1.0,1.0,0.15708139567826157,0.9720874351593155
letter,random 18,3.805000066757202,0.95408217410342122,1.0,1.0,1.0,1.0,1.0,0.14461313423561742,0.95408217410342355
letter,random 19,3.888000011444092,0.93695275836898295,1.0,1.0,1.0,1.0,1.0,0.15243322645710342,0.93695275836898173
letter,random 20,3.7260000705718994,0.92230350508220238,1.0,1.0,1.0,1.0,1.0,0.14834564598190236,0.92230350508219994
letter,random 21,4.289999961853027,0.90414629367978416,1.0,1.0,1.0,1.0,1.0,0.14583255013352925,0.90414629367978316
letter,random 22,4.392999887466431,0.89049872390245388,1.0,1.0,1.0,1.0,1.0,0.15167179562042421,0.89049872390245743
letter,random 23,4.973999977111816,0.87641705206106035,1.0,1.0,1.0,1.0,1.0,0.15581276960625165,0.87641705206106446
letter,random 24,4.793999910354614,0.86135037270549342,1.0,1.0,1.0,1.0,1.0,0.15014489100240677,0.86135037270549453
letter,random 25,5.434000015258789,0.84870518644404236,1.0,1.0,1.0,1.0,1.0,0.14229277035725527,0.84870518644404314
letter,random 26,5.165999889373779,0.83803353993623741,1.0,1.0,1.0,1.0,1.0,0.1437687419709244,0.83803353993623952
letter,random 27,5.446000099182129,0.82633793746289419,1.0,1.0,1.0,1.0,1.0,0.14900711519555102,0.82633793746289519
letter,random 28,5.983999967575073,0.81717380725460742,1.0,1.0,1.0,1.0,1.0,0.14806469441584305,0.81717380725460831
letter,random 29,4.992999792098999,0.80330225548699719,1.0,1.0,1.0,1.0,1.0,0.14854136885428448,0.80330225548699641
letter,random 30,6.769000053405762,0.79677061570913177,1.0,1.0,1.0,1.0,1.0,0.14718673272708213,0.7967706157091351
letter,random 31,5.806999921798706,0.78819881234178468,1.0,1.0,1.0,1.0,1.0,0.15048675011965776,0.78819881234177924
