Dataset,Algorithm,Training Time,homo,compl,v-meas,ARI,AMI,silhouette,AIC,BIC
letter,kmeans diag 21,2.7690000534057617,1.0,1.0,1.0,1.0,1.0,0.027333814656677252,1062405.9919189792,1067875.2053053342
letter,kmeans diag 22,2.059000015258789,1.0,1.0,1.0,1.0,1.0,0.023052575910509996,1080285.7757378619,1086015.8042134505
letter,kmeans diag 23,2.490999937057495,1.0,1.0,1.0,1.0,1.0,0.017246603317465407,1057822.3445623801,1063813.1881272024
letter,kmeans diag 24,2.2950000762939453,1.0,1.0,1.0,1.0,1.0,0.043055569928793155,1072401.9012499319,1078653.5599039879
letter,kmeans diag 25,2.614000082015991,1.0,1.0,1.0,1.0,1.0,0.027502679766487313,1057459.2676307331,1063971.7413740228
letter,kmeans diag 26,2.558000087738037,1.0,1.0,1.0,1.0,1.0,0.017215538180195784,1037730.7155306062,1044504.0043631297
letter,kmeans diag 27,3.93500018119812,1.0,1.0,1.0,1.0,1.0,-0.0024766966902384376,1011275.5861281346,1018309.6900498918
letter,kmeans diag 28,3.0340001583099365,1.0,1.0,1.0,1.0,1.0,-0.027107896584853984,996837.18536385521,1004132.1043748461
letter,kmeans diag 29,3.312999963760376,1.0,1.0,1.0,1.0,1.0,0.028220850496085831,1017493.5739964102,1025049.3080966348
letter,kmeans diag 30,4.411999940872192,1.0,1.0,1.0,1.0,1.0,0.031031631063593017,1019077.3460692476,1026893.8952587058
letter,kmeans diag 31,2.427999973297119,1.0,1.0,1.0,1.0,1.0,0.04048544815464071,1005629.7909774098,1013707.1552561017
letter,kmeans full 2,0.6619999408721924,1.0,1.0,1.0,1.0,1.0,0.090262588706656433,1201813.3071364886,1204223.8708400121
letter,kmeans full 3,0.500999927520752,1.0,1.0,1.0,1.0,1.0,0.11160813526811175,1173337.6165864069,1176957.4138854684
letter,kmeans full 4,1.1080000400543213,1.0,1.0,1.0,1.0,1.0,0.077826668365784529,1140615.5844765988,1145444.6153711984
letter,kmeans full 5,1.7960000038146973,1.0,1.0,1.0,1.0,1.0,0.059333686801211039,1119347.2389322203,1125385.5034223578
letter,kmeans full 6,2.6429998874664307,1.0,1.0,1.0,1.0,1.0,0.075292925248097317,1079311.2288013713,1086558.7268870468
letter,kmeans full 7,2.6010000705718994,1.0,1.0,1.0,1.0,1.0,0.070899085574025328,1053047.5349039324,1061504.2665851461
letter,kmeans full 8,2.177999973297119,1.0,1.0,1.0,1.0,1.0,0.088689593046412663,1048874.5278897681,1058540.4931665198
letter,kmeans full 9,2.1590001583099365,1.0,1.0,1.0,1.0,1.0,0.076455999827430343,1031877.1243721185,1042752.3232444082
letter,kmeans full 10,4.539999961853027,1.0,1.0,1.0,1.0,1.0,0.070259863105959025,1018224.9553348442,1030309.3878026719
letter,kmeans full 11,3.2929999828338623,1.0,1.0,1.0,1.0,1.0,0.076405263520572975,1008294.1641842745,1021587.8302476403
letter,kmeans full 12,3.065999984741211,1.0,1.0,1.0,1.0,1.0,0.061625842919605461,1011673.0278654807,1026175.9275243846
letter,kmeans full 13,4.455000162124634,1.0,1.0,1.0,1.0,1.0,0.057237119622217406,900613.68473833206,916325.81799277384
letter,kmeans full 14,6.141000032424927,1.0,1.0,1.0,1.0,1.0,0.059754537388188929,894242.11724456493,911163.48409454478
letter,kmeans full 15,3.821000099182129,1.0,1.0,1.0,1.0,1.0,0.079317524140017456,954980.14383830409,973110.74428382202
letter,kmeans full 16,5.868000030517578,1.0,1.0,1.0,1.0,1.0,0.07325745328875316,954286.69156271161,973626.52560376748
letter,kmeans full 17,10.615999937057495,1.0,1.0,1.0,1.0,1.0,0.048903395981145778,869084.07097974792,889633.13861634186
letter,kmeans full 18,5.709000110626221,1.0,1.0,1.0,1.0,1.0,0.075526313942274936,938161.41158773541,959919.71281986742
letter,kmeans full 19,9.585999965667725,1.0,1.0,1.0,1.0,1.0,0.035786561894493425,862618.48861851206,885586.02344618202
letter,kmeans full 20,18.664000034332275,1.0,1.0,1.0,1.0,1.0,0.033860497546833901,884141.23313201009,908318.00155521813
letter,kmeans full 21,9.776999950408936,1.0,1.0,1.0,1.0,1.0,0.028181782478221406,883322.6717920003,908708.67381074629
letter,kmeans full 22,10.3510000705719,1.0,1.0,1.0,1.0,1.0,0.033790919336124291,868005.82419402502,894601.05980830907
letter,kmeans full 23,12.51200008392334,1.0,1.0,1.0,1.0,1.0,0.025082745873118324,817011.30704099301,844815.77625081514
letter,kmeans full 24,15.0,1.0,1.0,1.0,1.0,1.0,0.043302597291656419,887500.63078067114,916514.33358603122
letter,kmeans full 25,11.894999980926514,1.0,1.0,1.0,1.0,1.0,0.066165767575758247,894827.08251426823,925050.01891516638
letter,kmeans full 26,15.302000045776367,1.0,1.0,1.0,1.0,1.0,0.053344600315492575,895525.6791011435,926957.84909757972
letter,kmeans full 27,22.906999826431274,1.0,1.0,1.0,1.0,1.0,0.019650972105990625,850679.83330046991,883321.23689244408
letter,kmeans full 28,19.072999954223633,1.0,1.0,1.0,1.0,1.0,0.057795028339905664,852580.3563747853,886430.99356229755
letter,kmeans full 29,15.569000005722046,1.0,1.0,1.0,1.0,1.0,0.058950500346450191,860116.41396810138,895176.28475115169
letter,kmeans full 30,22.867000102996826,1.0,1.0,1.0,1.0,1.0,0.0585613315725265,852660.55927533808,888929.66365392634
letter,kmeans full 31,16.69600009918213,1.0,1.0,1.0,1.0,1.0,0.041882554859615555,824365.34193455603,861843.67990868236
letter,random spherical 2,0.029000043869018555,1.0,1.0,1.0,1.0,1.0,0.084434240439313385,1444457.8120903471,1444734.4341546858
letter,random spherical 3,0.21000003814697266,1.0,1.0,1.0,1.0,1.0,0.14835558891069353,1384771.6462002797,1385190.5310405642
letter,random spherical 4,0.18799996376037598,1.0,1.0,1.0,1.0,1.0,0.1358913786737462,1367498.5184261973,1368059.6660424273
letter,random spherical 5,0.21199989318847656,1.0,1.0,1.0,1.0,1.0,0.11112356047942284,1351842.800114633,1352546.2105068087
letter,random spherical 6,0.2049999237060547,1.0,1.0,1.0,1.0,1.0,0.1351476288047683,1337490.2738593847,1338335.9470275061
letter,random spherical 7,0.38300013542175293,1.0,1.0,1.0,1.0,1.0,0.14182437355465674,1328631.1698148665,1329619.1057589336
letter,random spherical 8,0.47300004959106445,1.0,1.0,1.0,1.0,1.0,0.12567279862691358,1320176.3785908786,1321306.5773108911
letter,random spherical 9,0.48399996757507324,1.0,1.0,1.0,1.0,1.0,0.1240621099586935,1311048.3045327787,1312320.766028737
letter,random spherical 10,0.6619999408721924,1.0,1.0,1.0,1.0,1.0,0.11559817658224864,1306946.8409601972,1308361.5652321011
letter,random spherical 11,0.629000186920166,1.0,1.0,1.0,1.0,1.0,0.13696392915141306,1296609.769190999,1298166.7562388487
letter,random spherical 12,0.7660000324249268,1.0,1.0,1.0,1.0,1.0,0.11909297394056821,1292576.0057920073,1294275.2556158025
letter,random spherical 13,1.504000186920166,1.0,1.0,1.0,1.0,1.0,0.13008339221558515,1285493.2950990296,1287334.8076987704
letter,random spherical 14,1.1559998989105225,1.0,1.0,1.0,1.0,1.0,0.10889241481526174,1284064.420810292,1286048.1961859786
letter,random spherical 15,0.8519999980926514,1.0,1.0,1.0,1.0,1.0,0.1236887197450216,1277468.0826335303,1279594.1207851626
letter,random spherical 16,0.7739999294281006,1.0,1.0,1.0,1.0,1.0,0.11341743971285682,1277361.3237287933,1279629.6246563711
letter,random spherical 17,1.188999891281128,1.0,1.0,1.0,1.0,1.0,0.12452190827866694,1266426.1194094925,1268836.683113016
letter,random spherical 18,1.8629999160766602,1.0,1.0,1.0,1.0,1.0,0.11252081987662441,1263422.5825728243,1265975.4090522935
letter,random spherical 19,0.932999849319458,1.0,1.0,1.0,1.0,1.0,0.12603375677497744,1257307.3323187856,1260002.4215742005
letter,random spherical 20,1.307999849319458,1.0,1.0,1.0,1.0,1.0,0.11531189948436972,1255788.4965450277,1258625.8485763881
letter,random spherical 21,1.694000005722046,1.0,1.0,1.0,1.0,1.0,0.11928354446218947,1252797.2580180613,1255776.8728253674
letter,random spherical 22,1.2740001678466797,1.0,1.0,1.0,1.0,1.0,0.11816492718674708,1253674.8638362321,1256796.7414194839
letter,random spherical 23,1.7179999351501465,1.0,1.0,1.0,1.0,1.0,0.12433076507429232,1243091.661191829,1246355.8015510265
letter,random spherical 24,2.194999933242798,1.0,1.0,1.0,1.0,1.0,0.12757585929445914,1238382.8277933877,1241789.2309285307
letter,random spherical 25,2.1050000190734863,1.0,1.0,1.0,1.0,1.0,0.13127822439754339,1236372.0894093867,1239920.7553204754
letter,random spherical 26,2.122999906539917,1.0,1.0,1.0,1.0,1.0,0.12173514881437764,1234393.5108433843,1238084.4395304187
letter,random spherical 27,2.501999855041504,1.0,1.0,1.0,1.0,1.0,0.12905882109956507,1231773.8146257282,1235607.0060887083
letter,random spherical 28,2.370999813079834,1.0,1.0,1.0,1.0,1.0,0.13097540641224534,1227125.2135842526,1231100.6678231782
letter,random spherical 29,2.120999813079834,1.0,1.0,1.0,1.0,1.0,0.12916044828939147,1224760.4714770359,1228878.1884919072
letter,random spherical 30,2.437999963760376,1.0,1.0,1.0,1.0,1.0,0.14067590298436394,1218393.6628700616,1222653.6426608786
letter,random spherical 31,2.7780001163482666,1.0,1.0,1.0,1.0,1.0,0.12358203378529965,1218887.8379951941,1223290.0805619569
letter,random tied 2,0.06800007820129395,1.0,1.0,1.0,1.0,1.0,0.054151252020908376,1257192.4832964819,1258528.1726928605
letter,random tied 3,0.08800005912780762,1.0,1.0,1.0,1.0,1.0,0.016465296384148349,1257226.4845410483,1258696.5332258199
letter,random tied 4,0.06999993324279785,1.0,1.0,1.0,1.0,1.0,0.014108715420239644,1257260.4787832852,1258864.8867564502
letter,random tied 5,0.09100008010864258,1.0,1.0,1.0,1.0,1.0,-0.016656056945802702,1257294.4811133053,1259033.2483748633
letter,random tied 6,0.0989999771118164,1.0,1.0,1.0,1.0,1.0,0.016692088372566621,1257328.4756754581,1259201.6022254091
letter,random tied 7,0.11400008201599121,1.0,1.0,1.0,1.0,1.0,-0.014158400786936313,1257362.4841293357,1259369.9699676798
letter,random tied 8,0.1359999179840088,1.0,1.0,1.0,1.0,1.0,-0.01245524572988539,1257396.4829594661,1259538.3280862034
letter,random tied 9,0.22600007057189941,1.0,1.0,1.0,1.0,1.0,-0.036982638867876047,1257430.4807695735,1259706.6851847039
letter,random tied 10,0.18499994277954102,1.0,1.0,1.0,1.0,1.0,-0.029507596175714069,1257464.481413313,1259875.0451168364
letter,random tied 11,0.1919999122619629,1.0,1.0,1.0,1.0,1.0,-0.024005081351875818,1257498.4910907296,1260043.4140826461
